Reef_ID,Location,Latitude,Longitude,Coral_Cover (%),Water_Temp (°C),Salinity (ppt),pH,Turbidity (NTU),Nutrient_Levels (µmol/L),Fish_Diversity (Species Count),Bleaching_Events (Count),Human_Impact_Index,Protected_Area (Yes/No)
1,Great Barrier Reef,-18.2871,147.6992,45.3,28.5,34.7,8.1,2.3,0.8,120,2,6.5,Yes
2,Caribbean Sea,17.7356,-64.7506,12.8,29.8,35.2,7.9,5.6,1.5,85,4,8.2,No
3,Red Sea,22.4964,38.9585,67.2,30.2,40.1,8.3,1.8,0.6,150,1,3.1,Yes
4,Maldives,3.2028,73.2207,23.4,30.5,34.9,8.0,4.2,1.2,95,3,7.8,No
5,Seychelles,-4.6796,55.4920,56.7,29.7,35.0,8.2,2.5,0.9,130,2,5.4,Yes
6,Andaman Sea,11.7401,92.6586,34.5,29.3,33.8,8.0,3.1,1.0,110,2,6.0,Yes
7,Philippines,12.8797,121.7740,18.9,30.1,34.5,7.8,6.0,1.8,75,5,9.0,No
8,Great Barrier Reef,-18.2871,147.6992,50.1,28.7,34.6,8.1,2.0,0.7,125,1,5.8,Yes
9,Red Sea,22.4964,38.9585,70.5,30.5,40.2,8.4,1.5,0.5,160,0,2.5,Yes
10,Caribbean Sea,17.7356,-64.7506,10.5,30.0,35.3,7.8,6.2,1.6,80,6,9.5,No
11,Maldives,3.2028,73.2207,20.0,30.8,35.0,8.1,4.5,1.3,90,4,8.0,No
12,Seychelles,-4.6796,55.4920,58.2,29.8,35.1,8.3,2.2,0.8,135,1,4.8,Yes
13,Andaman Sea,11.7401,92.6586,32.0,29.5,33.9,8.1,3.3,1.1,105,3,6.5,Yes
14,Philippines,12.8797,121.7740,15.0,30.3,34.6,7.9,6.5,1.9,70,7,9.8,No
15,Great Barrier Reef,-18.2871,147.6992,48.7,28.6,34.8,8.2,2.1,0.75,122,2,6.2,Yes
16,Red Sea,22.4964,38.9585,68.9,30.4,40.0,8.3,1.7,0.55,155,1,2.8,Yes
17,Caribbean Sea,17.7356,-64.7506,11.2,29.9,35.1,7.7,5.8,1.55,82,5,9.2,No
18,Maldives,3.2028,73.2207,21.5,30.6,34.8,8.0,4.3,1.25,92,4,7.9,No
19,Seychelles,-4.6796,55.4920,57.5,29.6,35.2,8.1,2.4,0.85,128,2,5.2,Yes
20,Andaman Sea,11.7401,92.6586,33.8,29.4,33.7,8.0,3.2,1.05,108,2,6.3,Yes
21,Philippines,12.8797,121.7740,17.5,30.2,34.4,7.8,6.1,1.85,72,6,9.5,No
22,Great Barrier Reef,-18.2871,147.6992,49.5,28.8,34.7,8.1,2.2,0.78,123,1,5.9,Yes
23,Red Sea,22.4964,38.9585,69.8,30.3,40.1,8.2,1.6,0.52,158,0,2.7,Yes
24,Caribbean Sea,17.7356,-64.7506,10.8,30.1,35.0,7.9,6.0,1.58,81,5,9.3,No
25,Maldives,3.2028,73.2207,22.0,30.7,34.9,8.1,4.4,1.28,93,4,8.1,No
26,Seychelles,-4.6796,55.4920,57.8,29.9,35.0,8.2,2.3,0.88,132,1,5.0,Yes
27,Andaman Sea,11.7401,92.6586,34.2,29.6,33.8,8.1,3.4,1.08,107,2,6.4,Yes
28,Philippines,12.8797,121.7740,16.8,30.4,34.5,7.9,6.3,1.88,73,6,9.7,No
29,Great Barrier Reef,-18.2871,147.6992,47.9,28.9,34.6,8.0,2.4,0.8,121,2,6.1,Yes
30,Red Sea,22.4964,38.9585,68.5,30.6,40.2,8.4,1.9,0.6,153,1,2.9,Yes
31,Caribbean Sea,17.7356,-64.7506,11.5,30.2,35.2,7.8,5.9,1.6,83,5,9.4,No
32,Maldives,3.2028,73.2207,20.5,30.8,34.7,8.0,4.6,1.3,91,4,8.2,No
33,Seychelles,-4.6796,55.4920,56.9,29.7,35.1,8.1,2.6,0.9,129,2,5.3,Yes
34,Andaman Sea,11.7401,92.6586,33.5,29.7,33.9,8.2,3.5,1.1,106,2,6.6,Yes
35,Philippines,12.8797,121.7740,18.2,30.5,34.6,7.8,6.4,1.9,74,7,9.9,No
36,Great Barrier Reef,-18.2871,147.6992,46.8,29.0,34.5,8.1,2.5,0.82,119,2,6.3,Yes
37,Red Sea,22.4964,38.9585,67.9,30.7,40.0,8.3,1.8,0.58,152,1,3.0,Yes
